채용글번호,지원금/보험,급여제도,선물,교육/생활,근무 환경,조직문화,출퇴근,리프레시
42932178,"건강검진, 각종 경조사 지원","상여금, 우수사원포상, 퇴직금, 성과급, 야근수당, 휴일(특근)수당, 연차수당, 4대 보험","명절선물/귀향비, 생일선물/파티","도서구입비지원, 교육비 지원, 점심식사 제공, 간식 제공, 식비 지원, 음료제공(차, 커피), 신규입사자 멘토 제도","휴게실, 수면실, 회의실, 공기청정기, 카페테리아, 유니폼지급, 스마트기기, 노트북, 사무용품 지급, 스탠딩 책상","노조/노사협의회, 수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 님/닉네임 문화, 문화 회식","야간교통비지급, 주차비지원, 탄력근무제, 재택근무, 주 52시간제 준수, 자율 근무제","연차, 경조휴가제, 반차, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가, 보건휴가"
42931329,,"우수사원포상, 4대 보험","명절선물/귀향비, 생일선물/파티, 웰컴키트 지급","우수사원시상식, 도서구입비지원, 자기계발비 지원, 간식 제공, 음료제공(차, 커피), 점심시간 연장제도","휴게실, 회의실, 공기청정기, 카페테리아, 사원증, 사무용품 지급","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 님/닉네임 문화","탄력근무제, 재택근무, 주 52시간제 준수","연차, 여름휴가, 경조휴가제, 반차, 근로자의 날 휴무, 휴가비지원, 육아휴직"
42932158,"건강검진, 각종 경조사 지원","상여금, 우수사원포상, 퇴직금, 성과급, 야근수당, 휴일(특근)수당, 연차수당, 4대 보험","명절선물/귀향비, 생일선물/파티","도서구입비지원, 교육비 지원, 점심식사 제공, 간식 제공, 식비 지원, 음료제공(차, 커피), 신규입사자 멘토 제도","휴게실, 수면실, 회의실, 공기청정기, 카페테리아, 유니폼지급, 스마트기기, 노트북, 사무용품 지급, 스탠딩 책상","노조/노사협의회, 수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 님/닉네임 문화, 문화 회식","야간교통비지급, 주차비지원, 탄력근무제, 재택근무, 주 52시간제 준수, 자율 근무제","연차, 경조휴가제, 반차, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가, 보건휴가"
42955738,"건강검진, 각종 경조사 지원, 자녀학자금","퇴직연금, 인센티브제, 장기근속자 포상, 우수사원포상, 야근수당, 휴일(특근)수당, 직책수당, 자격증수당, 4대 보험","명절선물/귀향비, 창립일선물지급","우수사원시상식, 워크샵, 직무능력향상교육, 자격증취득지원, 교육비 지원, 구내식당(사원식당), 사내동호회 운영, 음료제공(차, 커피)","휴게실, 회의실, 노트북, 사원증, 콘도/리조트 이용권, 사무용품 지급",야근강요 안함,차량유류비지급,
42973351,"건강검진, 각종 경조사 지원, 본인학자금, 선택적복리후생, 자녀학자금","인센티브제, 우수사원포상, 퇴직금, 가족수당, 4대 보험",창립일선물지급,"창립일행사, 우수사원시상식, 워크샵, 플레이샵, 신입사원교육(OJT), 직무능력향상교육, 교육비 지원, 자기계발비 지원, 저녁식사 제공, 아침식사 제공","카페테리아, 전용 사옥, 노트북",자유복장,,"연차, 여름휴가, 경조휴가제, 반차, 창립일휴무"
42973459,건강검진,4대 보험,"창립일선물지급, 생일선물/파티","도서구입비지원, 교육비 지원, 점심식사 제공, 간식 제공",,,,"연차, 경조휴가제, 산전 후 휴가"
43018950,,"퇴직금, 4대 보험",,"점심식사 제공, 음료제공(차, 커피)",회의실,,,
42750133,"각종 경조사 지원, 단체 상해보험","퇴직연금, 인센티브제, 상여금, 퇴직금, 성과급, 직책수당, 4대 보험","생일선물/파티, 생일자 조기퇴근","워크샵, 신입사원교육(OJT), 도서구입비지원, 교육비 지원, 아침식사 제공, 간식 제공, 음료제공(차, 커피)","휴게실, 회의실, 공기청정기, 카페테리아, 노트북, 사무용품 지급, 최고 성능 컴퓨터, 안마실/안마의자","노조/노사협의회, 수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 님/닉네임 문화, 칼퇴근 보장","주차장제공, 재택근무, 주 52시간제 준수, 주 40시간제 시행","연차, 반차, Refresh휴가, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가, 보건휴가, 패밀리데이, 시간제 연차"
43018008,"건강검진, 직원대출제도, 각종 경조사 지원","퇴직연금, 인센티브제, 장기근속자 포상, 우수사원포상, 휴일(특근)수당, 직책수당, 4대 보험",,"워크샵, 플레이샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 자격증취득지원, 자기계발비 지원, 구내식당(사원식당), 점심식사 제공, 사내동호회 운영","휴게실, 카페테리아",,"야간교통비지급, 주차장제공","연차, 반차, Refresh휴가, 산전 후 휴가, 육아휴직, 휴양시설 제공"
43017202,"건강검진, 직원대출제도, 업무활동비 지급, 문화생활비, 해외여행 지원, 주요 제품 직원 할인","퇴직연금, 인센티브제, 상여금, 장기근속자 포상, 우수사원포상, 스톡옵션, 퇴직금, 성과급, 연차수당, 자격증수당, 4대 보험",,자격증취득지원,"휴게실, 수면실, 회의실, 공기청정기, 카페테리아, 게임기, 전용 사옥, 사내 정원, 건물 내 경사로, 휠체어용 난간, 유도점자블록, 장애인 화장실, 장애인 전용주차장, 장애인 엘리베이터, 비상경보장치, 문턱 없음, 스마트기기, 사무용품 지급, 최고 성능 컴퓨터",,"차량유류비지급, 주차장제공, 주차비지원, 탄력근무제, 주 52시간제 준수",
42837608,,4대 보험,,,,,,
42928874,복지카드/포인트,"퇴직연금, 4대 보험",,,"전용 사옥, 사내 정원, 노트북, 사원증, 사무용품 지급","회식강요 안함, 야근강요 안함, 자유로운 연차사용, 칼퇴근 보장",주차장제공,
42939200,"건강검진, 각종 경조사 지원","퇴직연금, 인센티브제, 장기근속자 포상, 가족수당, 4대 보험",,사우회(경조사회),"회의실, 전용 사옥","회식강요 안함, 캐주얼데이",,"연차, 반차, 산전 후 휴가, 육아휴직"
