기업코드,기업이름,기업형태,업종,매출액,홈페이지,기업주소,사원수,설립일,대표자명
Ym5SbGZaSWwrZGJFVEtRL29VL2h6dz09,(주)글로벌유케이,"중소기업, 주식회사",포털 및 기타 인터넷 정보매개 서비스업,"3억 2,613만원 (2021년 기준)",www.globaluk.co.kr,"경기 성남시 분당구 판교역로192번길 16, 8층 806호 에이693",,2021년 3월 8일 (업력 1년),한혜인
RHYrYmdXSzhITkhjaXdCN3gxalZhZz09,(주)오누이,"중소기업, 스타트업, 주식회사",기타 교육지원 서비스업,"76억 2,637만원 (2020년 기준)",www.seoltab.com,"서울 마포구 연희로 11, 4층",,2016년 3월 16일 (업력 6년),고예진
WmRwRmw3Q0pQdW1qSEQxbWNmWmhudz09,(주)코드에프,중소기업,컴퓨터 프로그래밍 서비스업,"28억 4,249만원 (2020년 기준)",about.codef.io,"서울 중구 청계천로 100, 서관 3층",40 명 (2021년 기준),2009년 9월 14일 (업력 13년),서성권/여용주
RHYrYmdXSzhITkhjaXdCN3gxalZhZz09,(주)오누이,"중소기업, 스타트업, 주식회사",기타 교육지원 서비스업,"76억 2,637만원 (2020년 기준)",www.seoltab.com,"서울 마포구 연희로 11, 4층",,2016년 3월 16일 (업력 6년),고예진
NGJzdXBtTkhWQkRwbE5SKzY5dTRRQT09,(주)대교씨엔에스,중견기업,응용 소프트웨어 개발 및 공급업,"311억 5,866만원 (2021년 기준)",www.daekyocns.co.kr,"서울 관악구 보라매로3길 23, 7층",124 명 (2021년 기준),1999년 7월 5일 (업력 23년),이령
aEZvYzhnY3ArRkpJZVg2c3JkRHRWZz09,(주)이매지니어스,중소기업,응용 소프트웨어 개발 및 공급업,650만원 (2020년 기준),,"서울 성동구 뚝섬로13길 38, 4층",,2019년 3월 14일 (업력 3년),김진성
c0tZK3NrcVdBNSs4YUx4UXNvVkgvQT09,㈜이지팜,중소기업,시스템 소프트웨어 개발 및 공급업,"136억 3,360만원 (2020년 기준)",www.ezfarm.co.kr,경기 안양시 동안구 동편로20번길 9,89 명 (2021년 기준),2000년 5월 8일 (업력 22년),진교문
VVJNaXVCcE5WSHcwNWg3Y3BIdE1EQT09,(주)벨아이앤에스,중소기업,컴퓨터시스템 통합 자문 및 구축 서비스업,"95억 8,141만원 (2018년 기준)",www.bellins.net,서울 서대문구 충정로 8,,2008년 5월 14일 (업력 14년),한성욱
ZDBnWTJJbi85TWJYOXI5aVJUUm02Zz09,(주)느루,중소기업,응용 소프트웨어 개발 및 공급업,,,"충북 음성군 맹동면 대하3길 2, (201호,동성리)",,2021년 6월 22일 (업력 1년),강연우
MUZqSFJ5cmVSa2FSM2trdFFrTFEzdz09,행복쇼핑(주),"중소기업, 연구소, 주식회사",컴퓨터시스템 통합 자문 및 구축 서비스업,"19억 7,452만원 (2019년 기준)",www.pping.kr,"서울 영등포구 선유로 130, 801호,802호,803호,804호,805호,806호,지하112호",23 명 (2019년 기준),2013년 7월 9일 (업력 9년),강공승/좌옥희
bkxmOGhZZDUxamRZeWVSUWZlZUlXdz09,셀바스에이아이,"코스닥, 중소기업, 외부감사법인, 연구소, 주식회사, 병역특례 인증업체, 수출입 기업",응용 소프트웨어 개발 및 공급업,"136억 7,308만원 (2020년 기준)",www.selvasai.com,"서울 금천구 가산디지털1로 19, 20층",142 명 (2020년 기준),1999년 3월 31일 (업력 23년),곽민철
TmtYK0N4UzZqODRLY09HYUpnVDAwdz09,(주)비에이블컨설팅그룹,"중소기업, 주식회사",경영 컨설팅업,,www.babcg.com,"서울 금천구 가산디지털2로 165, 1501호",,2019년 12월 31일 (업력 3년),성광희
amM0ZmppSjYwWWRVNU4xeWhTK1BTQT09,(주)비지트,"중소기업, 외국인 투자기업, 연구소, 주식회사, 수출입 기업",컴퓨터 프로그래밍 서비스업,"5억 6,080만원 (2021년 기준)",www.visitandregular.com,강원 원주시 지정면 신평석화로 236-1,7 명 (2021년 기준),2018년 8월 21일 (업력 4년),조용원
ekxMaHFjdGs0bXRiTW5yY0xDQzhVUT09,(주)솔게이트,중소기업,응용 소프트웨어 개발 및 공급업,,,"서울 종로구 청계천로 383, 703호",,2014년 12월 29일 (업력 8년),이상준
R1lUMUd0SVhNUkpIR2dEekR4UTU4QT09,(주)라바웨이브,"중소기업, 주식회사",시스템 소프트웨어 개발 및 공급업,,www.lavarwave.co.kr,서울 강남구 헌릉로571길 32,,2019년 1월 15일 (업력 3년),김준엽
NXVycDRtRWNSRlFvVVZoc1dQTWQwQT09,(주)노랑풍선,"코스닥, 중소기업, 주식회사",여행사업,"199억 5,949만원 (2020년 기준)",www.ybtour.co.kr,서울 중구 수표로 31,341 명 (2020년 기준),2001년 8월 13일 (업력 21년),고재경/최명일
YVFNak9RMXRmRXFLeE5vdFovRGZEUT09,(주)마이즈,"기타, 주식회사",컴퓨터시스템 통합 자문 및 구축 서비스업,"14억 5,719만원 (2021년 기준)",mizeinc.co.kr,"인천 연수구 송도미래로 30, D동 1901호, 1902호",10 명 (2021년 기준),2020년 5월 4일 (업력 2년),강지영/김영훈
SjB6cm1IMkpaY2tLNFgwakdDMEczdz09,인파트너스,,시설관리·경비·용역,,,서울 서초구 강남대로107길 21 대능빌딩,,,편정현
TWg1cXpCdlVQTjFmZkRMTHhPWE9qZz09,(주)몬데인컨설팅,중소기업,응용 소프트웨어 개발 및 공급업,1억 140만원 (2020년 기준),http://mondaineconsulting.com/,"서울 강남구 압구정로4길 13-7, 201호",,,임명철
TCtFdVd3RnhUeUN2aEw0ZDNVeks0Zz09,한류뱅크(주),"중소기업, 주식회사",응용 소프트웨어 개발 및 공급업,,www.hanryuholdings.com,"서울 서초구 서초대로 397, B동 1702호",,2018년 10월 15일 (업력 4년),강문중
dk9NbnlTMVpxd2l2TE1UK3RKZFY4QT09,(주)엠넥스,"중소기업, 연구소, 주식회사",응용 소프트웨어 개발 및 공급업,"40억 9,000만원 (2021년 기준)",www.mnex.co.kr,"경기 안양시 동안구 시민대로 383, B동 10층 1001호",,2009년 7월 15일 (업력 13년),이태원
Z2VpN0YzR1hUNEljM29yZFp6UkdnQT09,콴텍(주),"중소기업, 스타트업, 주식회사",응용 소프트웨어 개발 및 공급업,3억원 (2021년 기준),www.quantec.co.kr,"서울 영등포구 여의대로 14, 14층",36 명 (2021년 기준),2016년 3월 30일 (업력 6년),이상근
VzlJeG5FUS80NEMzSnAyUHQ5ZmZ0UT09,(주)큐브릿지,"중견기업, 외부감사법인, 주식회사","문구용품, 회화용품, 사무용품 도매업","825억 2,454만원 (2021년 기준)",ir.qubridge.com,"경기 화성시 동탄물류로 48, 2층",120 명 (2021년 기준),1997년 4월 7일 (업력 25년),이상민
dHhWMllXSEdmcXNJVkZCekJuTEprQT09,(주)예스빗,"중소기업, 주식회사",컴퓨터 프로그래밍 서비스업,"27억 3,040만원 (2021년 기준)",www.yesbit.co.kr,"서울 강남구 테헤란로29길 10, 7층",,2015년 1월 7일 (업력 7년),김병민
dHhWMllXSEdmcXNJVkZCekJuTEprQT09,(주)예스빗,"중소기업, 주식회사",컴퓨터 프로그래밍 서비스업,"27억 3,040만원 (2021년 기준)",www.yesbit.co.kr,"서울 강남구 테헤란로29길 10, 7층",,2015년 1월 7일 (업력 7년),김병민
TmYzSjVqeFlVMk1Eai9hajdFRE9ydz09,(주)삼쩜일사,"중소기업, 주식회사",포털 및 기타 인터넷 정보매개 서비스업,,314.co.kr/,"서울 강남구 논현로24길 29, 3층",,2020년 1월 28일 (업력 2년),서진호
MEZ4bG1BcVZoK1hrMlJRUlBXWTNNQT09,(주)스튜디오사월,,포털·인터넷·컨텐츠,,,서울 송파구 중대로 135 아이티벤처타워,,,양나리
OW53RmJxbE5ZeTM5ZkRCRklmQldzUT09,주식회사 핀텔,"중소기업, 주식회사, 병역특례 인증업체",응용 소프트웨어 개발 및 공급업,82억 914만원 (2021년 기준),www.pintel.co.kr,"경기 용인시 기흥구 기흥로 58, B동 604호",51 명 (2021년 기준),2015년 9월 4일 (업력 7년),김동기
VFBNSkFGVXRBc0k2aTB1b3p5OWUyZz09,(주)트위니,"중소기업, 스타트업, 주식회사, 병역특례 인증업체",응용 소프트웨어 개발 및 공급업,"13억 1,779만원 (2019년 기준)",twinny.ai,대전 유성구 가정북로 90,69 명 (2019년 기준),2015년 8월 27일 (업력 7년),"천홍석, 천영석"
SmhpMGx5UEtqc1J4MWFlM3JIbGMwUT09,노아솔루션,,시설관리·경비·용역,,http://www.noahr.co.kr,서울 종로구 숭인동 70-72 연남빌딩,10 명 (2011년 기준),2005년 05월 (업력 17년),이창일
TDFadFZLNGNPakhaNThFMCsydkRqdz09,(주)고비트윈,"중소기업, 주식회사",응용 소프트웨어 개발 및 공급업,,bigeats.co.kr,"부산 부산진구 동천로108번길 32, 403호",,2020년 2월 25일 (업력 2년),허민
N1RwdnBkdTVSZGpReHJnNlV3eUlwUT09,(주)피플케어코리아,중소기업,경영 컨설팅업,,,"서울 강남구 영동대로 511, 27층",,2016년 4월 22일 (업력 6년),신중식
Zkc5dWtSYXhYSURDVTd0c0tEMStVQT09,한스컨설팅,,시설관리·경비·용역,5억원 (2012년 기준),,서울 송파구 가락동 107-11 덕암빌딩 401호,10 명 (2012년 기준),,한용희
Zkc5dWtSYXhYSURDVTd0c0tEMStVQT09,한스컨설팅,,시설관리·경비·용역,5억원 (2012년 기준),,서울 송파구 가락동 107-11 덕암빌딩 401호,10 명 (2012년 기준),,한용희
QWhIN0RUdWVLdFpHVUFMaWpUTHo0UT09,굿커리어,중소기업,경영 컨설팅업,,www.goodcareer.co.kr,서울 강남구 봉은사로 121,,,유창덕
QWhIN0RUdWVLdFpHVUFMaWpUTHo0UT09,굿커리어,중소기업,경영 컨설팅업,,www.goodcareer.co.kr,서울 강남구 봉은사로 121,,,유창덕
TU9aZU1YbU9uNmJnM3BJSUVwN1B3QT09,(주)티디아이플레이,중소기업,광고 대행업,"69억 8,394만원 (2019년 기준)",,"서울 서초구 서초대로64길 8, 4층",,2017년 11월 9일 (업력 5년),정기철
NFBidFUrZFkzNU5GOWRMOTJ1T1Jpdz09,(주)위벳유코퍼레이션,"중소기업, 사단법인, 연구소, 주식회사",셔츠 및 블라우스 제조업,,webetu.co.kr,"서울 강남구 논현로145길 40-8, 402호",,2021년 11월 29일 (업력 1년),최용섭
a2w1SHlvdVZZb0NDK2YwRHJPdExtUT09,(주)럭셔리앤올,"중소기업, 외부감사법인, 주식회사","가죽, 가방 및 신발 수리업","2억 3,282만원 (2020년 기준)",www.luxurynall.com,"제주 서귀포시 중정로 86, 3층 315호",,2020년 4월 22일 (업력 2년),우정범
eE41aHBPNVorSlE5U1d3WjM2VENwdz09,(주)오너클랜,"중소기업, 주식회사, 병역특례 인증업체",전자상거래 소매 중개업,600억원 (2019년 기준),http://www.ownerclan.com,서울 서초구 강남대로99길 23-8,80 명 (2019년 기준),2005년 7월 1일 (업력 17년),김기명
Z2V0blVTTlYvYWt4Uk1kMWdrQlhUdz09,(주)코어포인트,중소기업,고용 알선업,,,"서울 강남구 테헤란로29길 10, 8층 802호",,2019년 9월 23일 (업력 3년),윤영호
bmJNSnpSYmdjUCs3bGoyQ1ZSNUZYdz09,(주)더존비즈온,"코스피, 1000대기업, 중견기업, 외부감사법인",컴퓨터 프로그래밍 서비스업,,www.douzone.com,강원 춘천시 남산면 버들1길 130,1633 명 (2021년 기준),1977년 8월 20일 (업력 45년),김용우
S2FOVC9oVzNqdUxmZU45OU8rQVR2Zz09,에이치두(주),중소기업,그 외 기타 분류 안된 사업지원 서비스업,,,"서울 서초구 논현로 175, 4층",,2020년 7월 13일 (업력 2년),신도성
c3BHeWp2VHdVUzF3UkpncG5QZS91UT09,엔터웨이파트너스,"중소기업, 주식회사",경영 컨설팅업,,www.nterway.com,"서울 강남구 언주로 709, 5층",53 명 (2015년 기준),2000년 06월 (업력 22년),박정배
ZUw5Z0pzOUFzVWxjTWl0Sk1EYk5oUT09,주식회사 에이치에스88,,솔루션·SI·ERP·CRM,,hs88.kr,서울 강남구 봉은사로34길 7 제니스 빌딩 301호,15 명 (2020년 기준),2021년 4월 12일 (업력 1년),"김호성, 김주형"
ZURHYm9PN2tzQ25QSnZDbnRUazJndz09,(주)제이스톰,중소기업,응용 소프트웨어 개발 및 공급업,,,"서울 강남구 테헤란로 528, 15층",,2022년 2월 22일 (업력 0년),최종신
dHdpd2xVRkdHQTJNSnhmMXhZTFV4dz09,(주)파인원커뮤니케이션즈,"중소기업, 외부감사법인",응용 소프트웨어 개발 및 공급업,,www.pineone.com,"서울 금천구 디지털로9길 99, 812호",,2022년 1월 3일 (업력 0년),채지웅
bUxsMmszQUh1Mm1yaG91b0xsMlFKUT09,"SBI Cosmoney Co., Ltd.","중소기업, 외국인 투자기업, 주식회사",그 외 기타 금융 지원 서비스업,,https://www.sbicosmoney.com,"서울 강남구 테헤란로98길 8, 2층",40 명 (2019년 기준),2017년 8월 1일 (업력 5년),김정욱
dnBnSGRza3NOVStjMk5TeFZBdisxZz09,(주)모람씨앤티,"중소기업, 주식회사",컴퓨터 프로그래밍 서비스업,"10억 8,060만원 (2018년 기준)",http://www.moramcnt.com,"서울 광진구 아차산로73길 28, 3층",14 명 (2018년 기준),2008년 3월 28일 (업력 14년),구준서
eW5Ta1JzZUpMNXU0dE5lVnJaZlRPUT09,(주)베스텔라랩,"중소기업, 주식회사",데이터베이스 및 온라인정보 제공업,"18억 2,115만원 (2021년 기준)",vestellalab.com,"서울 마포구 백범로31길 21, 본관 5층 530호",,2018년 8월 16일 (업력 4년),정상수
aFVONVExZEQ1dVBLMUg1bGUwS2tUZz09,와우커뮤니케이션㈜,"중소기업, 주식회사, 병역특례 인증업체",시스템 소프트웨어 개발 및 공급업,"5억 3,150만원 (2016년 기준)",www.gowow.co.kr,"서울 금천구 벚꽃로 278, 916호",15 명 (2021년 기준),2000년 1월 21일 (업력 22년),박흥순
dGxXY1FVeGhrUmxTVzgwNWZDMEl4QT09,(주)블록체인글로벌,기타,응용 소프트웨어 개발 및 공급업,"4억 1,967만원 (2020년 기준)",blockchainglobal.co.kr,"서울 영등포구 여의나루로 57, 10층",7 명 (2021년 기준),2017년 6월 28일 (업력 5년),김호영
dU1PM09hanEwWlQxYXVoVThuS2ZNZz09,하나금융파인드(주),"대기업, 주식회사",보험 대리 및 중개업,,,"서울 종로구 창경궁로 117, 5층",,2021년 3월 8일 (업력 1년),남상우
Sy90WE9PZ1d4bnVOWWxvYUlvbEl2Zz09,헤론헬스정보시스템,"중소기업, 주식회사",솔루션·SI·ERP·CRM,,www.heronhis.co.kr,"서울 서대문구 성산로 543, 2층(대신동, 국제빌딩)",70 명 (2021년 기준),2022년 1월 3일 (업력 0년),"이기봉,금웅섭"
Tk5sWVVsY2hEcy9ESVRCRWU2VmxFQT09,피디엠테크,중소기업,기타 주변기기 제조업,"16억 1,000만원 (2017년 기준)",http://pdmtech.co.kr,"대구 달서구 달서대로 559, 11층 1108호",9 명 (2017년 기준),2004년 10월 8일 (업력 18년),서정진
UU9Jb0wxTnAralk5aCs1akVLTDI4UT09,(주)스카우트파트너스,"중소기업, 주식회사",고용 알선업,,http://www.scoutpartners.co.kr,"서울 강남구 테헤란로44길 5, 5층,6층",,2011년 9월 1일 (업력 11년),정성원
