채용글번호,채용글제목,직무타입,직무기술스택,경력,학력,근무형태,필수사항,우대사항,급여,직급/직책,근무일시,근무지역,남은지원기간,기업코드
42929793,UI/UX 기획 및 퍼블리셔 경력직 채용,기타,,경력,대졸(4년제) 이상,정규직,,활동/경험:해당직무 근무경험,면접 후 결정,,,"서울 성동구, 서울전체",11,Ym5SbGZaSWwrZGJFVEtRL29VL2h6dz09
42932178,[에듀테크 스타트업 오누이/설탭] 대규모 개발자 채용,기타,,경력,학력무관,정규직,,활동/경험:해당직무 근무경험,면접 후 결정,,주 5일(월~금),"서울 마포구, 강남구, 구로구, 양천구, 영등포구",20,RHYrYmdXSzhITkhjaXdCN3gxalZhZz09
42931329,CODEF 2022년 각 부문 경력 채용,기타,,신입·경력 1년 ↑,학력무관,정규직,,"전공:컴퓨터/시스템공학,활동/경험:해당직무 근무경험",면접 후 결정,,주 5일(월~금),(04542) 서울 중구 청계천로 100 시그니쳐타워(수표동) 서울 2호선 을지로3가역에서 300m 이내,16,WmRwRmw3Q0pQdW1qSEQxbWNmWmhudz09
42932158,[에듀테크 스타트업 오누이/설탭] 웹/앱 서비스 리드 개발자 채용,"모바일,웹",,경력,학력무관,정규직,,활동/경험:해당직무 근무경험,면접 후 결정,,주 5일(월~금),서울 마포구,20,RHYrYmdXSzhITkhjaXdCN3gxalZhZz09
42955738,[㈜대교CNS] SW엔지니어 신입 및 경력직 채용,기타,,신입·경력,"대졸(2,3년제) 이상(예정자 가능)",정규직,,"전공:컴퓨터/시스템공학, 공학계열,보유역량:국가유공자, 보훈대상자,활동/경험:해당직무 근무경험, 석사학위 수여자",면접 후 결정,면접 후 결정,주 5일(월~금),"서울 관악구, 서울전체",11,NGJzdXBtTkhWQkRwbE5SKzY5dTRRQT09
42972834,Web3 AR 메타버스 iOS/안드로이드앱 개발자/웹개발자 모집,"모바일,웹",ios,신입·경력,학력무관,정규직,,,"연봉 6,000 만원",,주 5일(월~금),"서울 성동구, 서울전체, 강남구, 강동구, 광진구, 동대문구, 성북구, 송파구, 용산구, 중랑구",11,aEZvYzhnY3ArRkpJZVg2c3JkRHRWZz09
42973351,"반려견 관련 신규 앱 개발 프론트엔드, 백엔드 모집","백엔드,프론트엔드,모바일",,경력 3년 ↑,학력무관,정규직,,,면접 후 결정,,,(13929) 경기 안양시 동안구 동편로20번길 9 스마트넷빌딩 3층 이지팜(관양동) 서울 4호선 인덕원역에서 800m 이내,상시 채용,c0tZK3NrcVdBNSs4YUx4UXNvVkgvQT09
42973459,[종근당 계열사] WEBㆍAPP 기획/JAVA개발자 및 APP/WEB 디자이너,백엔드,java,경력,학력무관,정규직,,활동/경험:해당직무 근무경험,면접 후 결정,,주 5일(월~금),"서울 서대문구, 서울전체, 마포구, 종로구",7,VVJNaXVCcE5WSHcwNWg3Y3BIdE1EQT09
43018950,(주)느루 백엔드/프론트엔드 개발자 모집 (경력무관),"백엔드,프론트엔드",,신입·경력 2년 ↑,학력무관(예정자 가능),정규직,,"전공:공학계열,근무조건:인근거주자,활동/경험:해당직무 근무경험",면접 후 결정,,주 5일(월~금),(27738) 충북 음성군 맹동면 동성리 477 2층 201호(충북혁신도시),상시 채용,ZDBnWTJJbi85TWJYOXI5aVJUUm02Zz09
42750133,REACT/PHP/PYTHON/퍼블리셔/소프트웨어 품질 엔지니어(QA),"백엔드,프론트엔드","php,react",경력 3년 ↑,"대졸(2,3년제) 이상",정규직,,,면접 후 결정,,주 5일(월~금) 10:00~19:00,(07255) 서울 영등포구 선유로 130(양평동3가) 서울 2호선 영등포구청역에서 500m 이내,20,MUZqSFJ5cmVSa2FSM2trdFFrTFEzdz09
